algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks,coef
Annoy-trees-10,46.339295112999935,1.7760304570001608,0.308373,253.08921292448045,10,500,46.33940900000016,1.7761489999998048,0.5
Annoy-trees-10,46.339295112999935,1.9822822310002266,0.337414,251.1869161858406,10,600,46.33940900000016,1.9823059999998804,0.6
Annoy-trees-10,46.339295112999935,2.1611084090000077,0.362812,249.71256123454285,10,700,46.33940900000016,2.1611330000000635,0.7
Annoy-trees-10,46.339295112999935,2.368480657999953,0.385992,248.52904963830184,10,800,46.33940900000016,2.3685099999997874,0.8
Annoy-trees-10,46.339295112999935,2.7585672780001005,0.406784,247.55278463615798,10,900,46.33940900000016,2.758597000000009,0.9
Annoy-trees-10,46.339295112999935,2.7900584419999177,0.426956,246.6951300830803,10,1000,46.33940900000016,2.79008900000008,1
Annoy-trees-10,46.339295112999935,2.9029710580002757,0.445619,245.95871117431258,10,1100,46.33940900000016,2.9029959999998027,1.1
Annoy-trees-10,46.339295112999935,3.166212258000087,0.462713,245.3249886210518,10,1200,46.33940900000016,3.16623699999991,1.2
Annoy-trees-10,46.339295112999935,3.3468180989998473,0.478723,244.76533954667283,10,1300,46.33940900000016,3.3468410000000404,1.3
Annoy-trees-10,46.339295112999935,3.429080955000245,0.493718,244.26418888700866,10,1400,46.33940900000016,3.429106999999931,1.4
Annoy-trees-10,46.339295112999935,3.6408486549998997,0.507482,243.82104607164,10,1500,46.33940900000016,3.640881000000263,1.5
Annoy-trees-10,46.339295112999935,3.8034960639997735,0.520724,243.4152647661476,10,1600,46.33940900000016,3.803523000000041,1.6
Annoy-trees-10,46.339295112999935,3.933834485999796,0.533678,243.04260525679015,10,1700,46.33940900000016,3.9338619999998627,1.7
Annoy-trees-10,46.339295112999935,4.102108817000044,0.545416,242.7145009510498,10,1800,46.33940900000016,4.102134000000206,1.8
Annoy-trees-10,46.339295112999935,4.281246674999693,0.556624,242.4112112812996,10,1900,46.33940900000016,4.281270999999833,1.9
Annoy-trees-10,46.339295112999935,4.450130618999992,0.566701,242.14715974425124,10,2000,46.33940900000016,4.450154999999995,2
Annoy-trees-10,46.339295112999935,5.294320546000108,0.61187,241.0510924738159,10,2500,46.33940900000016,5.294344999999794,2.5
Annoy-trees-10,46.339295112999935,5.801660169000115,0.627298,240.7058584064331,10,2700,46.33940900000016,5.8016859999997905,2.7
Annoy-trees-10,46.339295112999935,6.134333285000139,0.648071,240.26602047093962,10,3000,46.33940900000016,6.134364000000005,3
Annoy-trees-10,46.339295112999935,7.144999119000204,0.678138,239.6672657924881,10,3500,46.33940900000016,7.1450260000001435,3.5
Annoy-trees-10,46.339295112999935,7.686595833999945,0.703239,239.20460376794435,10,4000,46.33940900000016,7.686623000000054,4
Annoy-trees-10,46.339295112999935,8.56397065100009,0.724855,238.83526748147582,10,4500,46.33940900000016,8.563995999999861,4.5
Annoy-trees-10,46.339295112999935,9.313175118000345,0.743972,238.5201887302475,10,5000,46.33940900000016,9.313207000000148,5
Annoy-trees-10,46.339295112999935,10.156162141000095,0.760417,238.26375118258667,10,5500,46.33940900000016,10.156195000000025,5.5
Annoy-trees-10,46.339295112999935,11.075763889999962,0.775307,238.03957092142485,10,6000,46.33940900000016,11.07578999999987,6
Annoy-trees-10,46.339295112999935,11.705308736000006,0.788398,237.85123599653625,10,6500,46.33940900000016,11.705336999999872,6.5
Annoy-trees-10,46.339295112999935,12.381299051000042,0.80033,237.68543670607758,10,7000,46.33940900000016,12.381325999999717,7
Annoy-trees-70,202.7663513560001,7.715066073999878,0.732641,238.5850106307678,70,3500,202.76639499999987,7.715087999999923
Annoy-trees-70,202.7663513560001,9.110685762000003,0.763355,238.11229019051362,70,4200,202.76639499999987,9.110716000000139
Annoy-trees-70,202.7663513560001,9.750821597999902,0.787539,237.76536926906584,70,4900,202.76639499999987,9.750847999999905
Annoy-trees-70,202.7663513560001,10.863810883000042,0.807476,237.49978741752625,70,5600,202.76639499999987,10.863841999999977
Annoy-trees-70,202.7663513560001,11.813660116000165,0.824655,237.28355266705321,70,6300,202.76639499999987,11.813683999999967
Annoy-trees-70,202.7663513560001,12.647539886999994,0.839005,237.1105307064514,70,7000,202.76639499999987,12.647564999999986
Annoy-trees-70,202.7663513560001,13.758261229000027,0.851552,236.96302486370848,70,7700,202.76639499999987,13.758284000000003
Annoy-trees-70,202.7663513560001,14.640043515000116,0.86234,236.84332110572814,70,8400,202.76639499999987,14.640075000000024
Annoy-trees-70,202.7663513560001,15.628550553999958,0.871839,236.73995275808716,70,9100,202.76639499999987,15.628575999999839
Annoy-trees-70,202.7663513560001,16.401760447000015,0.880056,236.6514717428665,70,9800,202.76639499999987,16.401789000000008
Annoy-trees-70,202.7663513560001,17.87887593399978,0.887598,236.57270816331481,70,10500,202.76639499999987,17.87890100000004
Annoy-trees-20,72.93611022500045,2.876913937000154,0.454481,245.61166368639374,20,1000,72.93625599999996,2.877013000000261,0.5
Annoy-trees-20,72.93611022500045,4.5387375899999824,0.591103,241.46072429832077,20,2000,72.93625599999996,4.538760999999795,1
Annoy-trees-20,72.93611022500045,6.1663112599999295,0.673132,239.7078312013626,20,3000,72.93625599999996,6.166337000000112,1.5
Annoy-trees-20,72.93611022500045,7.704839171999993,0.727543,238.74614643643187,20,4000,72.93625599999996,7.704867000000377,2
Annoy-trees-20,72.93611022500045,9.158667193999918,0.766731,238.13085915175628,20,5000,72.93625599999996,9.158693000000312,2.5
Annoy-trees-20,72.93611022500045,10.983522194000216,0.796833,237.70021600855256,20,6000,72.93625599999996,10.983548000000155,3
Annoy-trees-20,72.93611022500045,12.182098318000044,0.820115,237.3887213864441,20,7000,72.93625599999996,12.18213199999991,3.5
Annoy-trees-20,72.93611022500045,13.607802985000035,0.839459,237.14842172659303,20,8000,72.93625599999996,13.607829000000038,4
Annoy-trees-20,72.93611022500045,14.96700580200013,0.855124,236.96121847259522,20,9000,72.93625599999996,14.967030999999679,4.5
Annoy-trees-20,72.93611022500045,16.506844391999948,0.868378,236.81088313876342,20,10000,72.93625599999996,16.506868999999824,5
Annoy-trees-20,72.93611022500045,17.89840854899967,0.879779,236.68482997587586,20,11000,72.93625599999996,17.89843699999983,5.5
Annoy-trees-20,72.93611022500045,19.466010557000118,0.889537,236.57960920898438,20,12000,72.93625599999996,19.466032999999697,6
Annoy-trees-20,72.93611022500045,20.81057322100014,0.898272,236.48893116992951,20,13000,72.93625599999996,20.81059899999991,6.5
Annoy-trees-20,72.93611022500045,22.118184334000034,0.905758,236.41265463345337,20,14000,72.93625599999996,22.118211999999858,7
Annoy-trees-15,59.509618576999856,2.3490503249995527,0.390587,248.34037617432784,15,750,59.509782999999516,2.349170000000413,0.5
Annoy-trees-15,59.509618576999856,3.7047968070000934,0.522061,243.33053702445602,15,1500,59.509782999999516,3.704823000000033,1
Annoy-trees-15,59.509618576999856,4.868539765000605,0.605823,241.14609906275558,15,2250,59.509782999999516,4.868574000000081,1.5
Annoy-trees-15,59.509618576999856,6.166316785000163,0.663676,239.91682318352508,15,3000,59.509782999999516,6.166344000000208,2
Annoy-trees-15,59.509618576999856,7.311422130999745,0.706912,239.11641512472534,15,3750,59.509782999999516,7.311445000000276,2.5
Annoy-trees-15,59.509618576999856,8.46475916899999,0.740027,238.55747093507387,15,4500,59.509782999999516,8.4647930000001,3
Annoy-trees-15,59.509618576999856,9.589760608000688,0.766779,238.14321188985443,15,5250,59.509782999999516,9.589785999999549,3.5
Annoy-trees-15,59.509618576999856,10.78760057999989,0.789063,237.82076339754485,15,6000,59.509782999999516,10.78763699999945,4
Annoy-trees-15,59.509618576999856,12.12463153600038,0.807741,237.5660366219635,15,6750,59.509782999999516,12.124659000000065,4.5
Annoy-trees-15,59.509618576999856,13.03012305700031,0.823361,237.36147815162659,15,7500,59.509782999999516,13.030149000000165,5
Annoy-trees-15,59.509618576999856,14.18891186899964,0.837011,237.1894838946228,15,8250,59.509782999999516,14.188936999999896,5.5
Annoy-trees-15,59.509618576999856,15.124098333999427,0.849211,237.0429222375412,15,9000,59.509782999999516,15.124123000000509,6
Annoy-trees-15,59.509618576999856,16.986331705999874,0.859807,236.91762302130127,15,9750,59.509782999999516,16.986355000000003,6.5



